ParkName,Latitude,Longitude
Abraham Lincoln Birthplace NHP,37.612,-85.642
Acadia NP,44.338,-68.245
Adams NHP,42.257,-71.012
African Burial Ground NM,40.715,-74.004
Agate Fossil Beds NM,42.422,-103.759
Alagnak Wild River,59.056,-155.834
Alibates Flint Quarries NM,35.582,-101.67
Allegheny Portage Railroad NHS,40.432,-78.518
Amistad NRA,29.579,-101.288
Andersonville NHS,32.198,-84.131
Andrew Johnson NHS,36.156,-82.838
Aniakchak NM & PRES,56.872,-157.712
Antietam NB,39.462,-77.736
Apostle Islands NL,46.939,-90.582
Appomattox Court House NHP,35.989,-82.481
Arches NP,38.708,-109.595
Arkansas Post NMEM,34.021,-91.347
Arlington House The R.E. Lee MEM,38.882,-77.074
Assateague Island NS,38.047,-75.247
Aztec Ruins NM,36.835,-108.002
Badlands NP,43.834,-102.394
Bandelier NM,35.785,-106.313
Belmont-Paul Women's Equality NM,38.892,-77.004
Bent's Old Fort NHS,38.04,-103.426
Bering Land Bridge NPRES,65.923,-164.174
Big Bend NP,29.334,-103.194
Big Cypress NPRES,25.987,-81.105
Big Hole NB,45.646,-113.646
Big South Fork NRRA,36.523,-84.676
Big Thicket NPRES,30.475,-94.347
Bighorn Canyon NRA,45.104,-108.235
Biscayne NP,25.47,-80.218
Black Canyon of the Gunnison NP,38.579,-107.744
Blue Ridge PKWY,36.436,-81.071
Bluestone NSR,37.561,-80.995
Booker T. Washington NM,37.114,-79.731
Boston African American NHS,42.358,-71.071
Boston Harbor Islands NRA,42.262,-70.876
Boston NHP,42.373,-71.055
Brown v. Board of Education NHS,39.038,-95.676
Bryce Canyon NP,37.571,-112.186
Buck Island Reef NM,17.809,-64.62
Buffalo NR,36.04,-93.31
Cabrillo NM,32.672,-117.241
Camp Nelson NM,37.793,-84.596
Canaveral NS,28.778,-80.748
Cane River Creole NHP,31.665,-93.006
Canyon de Chelly NM,36.094,-109.34
Canyonlands NP,38.272,-109.883
Cape Cod NS,42.05,-70.087
Cape Hatteras NS,35.237,-75.604
Cape Krusenstern NM,67.429,-163.453
Cape Lookout NS,34.828,-76.348
Capitol Reef NP,38.171,-111.143
Capulin Volcano NM,36.782,-103.973
Carl Sandburg Home NHS,35.268,-82.451
Carlsbad Caverns NP,32.12,-104.601
Carter G. Woodson Home NHS,38.911,-77.024
Casa Grande Ruins NM,32.997,-111.533
Castillo de San Marcos NM,29.898,-81.312
Castle Clinton NM,40.703,-74.017
Catoctin Mountain Park,39.653,-77.469
Cedar Breaks NM,37.634,-112.845
Cesar E. Chavez NM,35.227,-118.563
Chaco Culture NHP,36.034,-107.958
Chamizal NMEM,31.767,-106.455
Channel Islands NP,34.019,-119.706
Charles Pinckney NHS,32.846,-79.825
Charles Young Buffalo Soldiers NM,39.709,-83.89
Chattahoochee River NRA,33.974,-84.267
Chesapeake & Ohio Canal NHP,39.609,-77.923
Chickamauga & Chattanooga NMP,34.919,-85.255
Chickasaw NRA,34.456,-96.998
Chiricahua NM,32.016,-109.348
Christiansted NHS,17.734,-64.74
City of Rocks NRES,42.065,-113.706
Clara Barton NHS,38.968,-77.14
Colonial NHP,37.244,-76.527
Colorado NM,39.055,-108.689
Congaree NP,33.794,-80.764
Coronado NMEM,31.351,-110.256
Cowpens NB,35.133,-81.81
Crater Lake NP,42.945,-122.134
Craters of the Moon NM & PRES,43.404,-113.506
Cumberland Gap NHP,36.619,-83.645
Cumberland Island NS,30.819,-81.457
Curecanti NRA,38.453,-107.37
Cuyahoga Valley NP,41.209,-81.57
Dayton Aviation Heritage NHP,39.803,-84.065
De Soto NMEM,27.522,-82.643
Death Valley NP,36.567,-117.139
Delaware Water Gap NRA,41.099,-74.94
Denali NP & PRES,63.326,-150.603
Devils Postpile NM,37.615,-119.088
Devils Tower NM,44.59,-104.715
Dinosaur NM,40.494,-108.938
Dry Tortugas NP,24.646,-82.874
Dwight D. Eisenhower MEM,38.887,-77.019
Edgar Allan Poe NHS,39.962,-75.15
Effigy Mounds NM,43.091,-91.208
Eisenhower NHS,39.796,-77.267
El Malpais NM,34.786,-107.978
El Morro NM,35.039,-108.346
Eleanor Roosevelt NHS,41.763,-73.901
Eugene O'Neill NHS,37.826,-122.027
Everglades NP,25.283,-80.955
Federal Hall NMEM,40.707,-74.01
Fire Island NS,40.703,-72.966
First Ladies NHS,40.797,-81.376
Flight 93 NMEM,40.058,-78.893
Florissant Fossil Beds NM,38.913,-105.286
Ford's Theatre NHS,38.897,-77.026
Fort Bowie NHS,32.149,-109.448
Fort Caroline NMEM,30.384,-81.5
Fort Davis NHS,30.599,-103.895
Fort Donelson NB,36.486,-87.86
Fort Frederica NM,31.22,-81.393
Fort Laramie NHS,42.202,-104.547
Fort Larned NHS,38.184,-99.215
Fort Matanzas NM,29.712,-81.238
Fort McHenry NM & HS,39.264,-76.58
Fort Necessity NB,39.811,-79.589
Fort Point NHS,37.809,-122.473
Fort Pulaski NM,32.033,-80.94
Fort Raleigh NHS,35.935,-75.716
Fort Scott NHS,37.843,-94.705
Fort Smith NHS,35.389,-94.431
Fort Stanwix NM,43.211,-75.455
Fort Sumter and Fort Moultrie NHP,32.753,-79.879
Fort Union NM,35.907,-105.012
Fort Union Trading Post NHS,47.999,-104.038
Fort Vancouver NHS,45.624,-122.662
Fort Washington Park,38.711,-77.029
Fossil Butte NM,41.857,-110.766
Franklin Delano Roosevelt MEM,38.883,-77.043
Frederick Douglass NHS,38.863,-76.985
Frederick Law Olmsted NHS,42.325,-71.132
Fredericksburg & Spotsylvania NMP,38.294,-77.731
Friendship Hill NHS,39.778,-79.923
Gates of the Arctic NP & PRES,67.762,-153.27
Gateway Arch NP,38.623,-90.175
Gateway NRA,40.598,-73.857
Gauley River NRA,38.192,-81.073
General Grant NMEM,40.813,-73.963
George Rogers Clark NHP,38.679,-87.535
George Washington Birthplace NM,38.19,-76.92
George Washington Carver NM,36.987,-94.356
George Washington MEM PKWY,38.71,-77.063
