RecreationVisits,RecreationHours,TentCampers,RVCampers,BackcountryCampers,Campers,Clusters,Cluster Color
6011,37446,102,13,0,115,0,peach
5243,17661,53,8,0,61,0,peach
11165,36051,176,37,0,213,0,peach
219351,1334058,1037,459,0,1496,0,peach
339416,2088588,3193,1148,0,4341,0,peach
543205,3661992,23821,9819,0,33640,1,purple
383341,2300046,42182,23243,0,65425,0,peach
466928,2801568,45347,23665,0,69012,1,purple
320138,1920828,22762,15276,0,38038,0,peach
300976,1805856,676,422,0,1098,0,peach
183750,1102500,215,176,0,391,0,peach
7842,48936,144,13,0,157,0,peach
8966,39428,15,2,0,17,0,peach
8225,29531,9,5,0,14,0,peach
7505,47994,50,11,0,61,0,peach
182879,1121238,1496,655,0,2151,0,peach
209301,1362666,6300,1775,0,8075,0,peach
359552,2573676,26456,8241,0,34697,1,purple
533885,4007238,41259,26157,0,67416,1,purple
633067,3866797,45912,23043,0,68955,1,purple
282636,2173644,27142,12677,0,39819,0,peach
332937,2113926,6240,3452,0,9692,0,peach
200461,1212078,670,106,0,776,0,peach
20252,123372,155,0,0,155,0,peach
23330,141636,98,40,0,138,0,peach
16207,99654,127,74,0,201,0,peach
21923,139200,512,126,0,638,0,peach
188071,1115586,1660,418,0,2078,0,peach
212500,1439604,8754,1603,0,10357,0,peach
366518,2627976,27320,8519,0,35839,1,purple
545981,4095802,41874,26452,0,68326,1,purple
616233,4523203,46370,22447,0,68817,1,purple
463823,3338926,33346,12653,0,45999,1,purple
313788,1996900,5799,3715,0,9514,0,peach
203741,1229827,426,188,0,614,0,peach
25857,159282,271,74,0,345,0,peach
21425,129342,57,9,0,66,0,peach
22210,139260,414,86,0,500,0,peach
36866,225864,701,188,0,889,0,peach
193208,1186488,1783,487,0,2270,0,peach
261452,1705689,9411,2004,0,11415,0,peach
404915,2805202,22498,8811,0,31309,1,purple
737860,5244016,46534,21537,0,68071,1,purple
574164,4287750,49647,21344,0,70991,1,purple
541721,3904737,30737,24097,0,54834,1,purple
446170,2863836,9624,5944,0,15568,1,purple
303753,1833044,668,209,0,877,0,peach
28370,179910,685,125,0,810,0,peach
23771,143571,79,0,0,79,0,peach
24667,148938,78,0,0,78,0,peach
25576,290706,249,0,0,249,0,peach
207347,1272174,1808,533,0,2341,0,peach
287861,1807258,5253,1509,0,6762,0,peach
435142,3023700,24409,9995,0,34404,1,purple
916474,5846027,46891,20291,0,67182,1,purple
715624,5083824,45361,20479,0,65840,1,purple
668981,4568046,31587,14596,0,46183,1,purple
529524,3330228,7844,4912,0,12756,1,purple
262444,1584264,800,0,0,800,0,peach
27228,164451,70,20,0,90,0,peach
24273,165436,59,0,0,59,0,peach
26185,159271,160,20,0,180,0,peach
37289,224889,85,8,0,93,0,peach
229638,1386038,541,143,0,684,0,peach
271964,1697511,4269,1208,0,5477,0,peach
458908,3083640,20201,7315,0,27516,1,purple
790392,5401809,42635,12320,0,54955,1,purple
865843,5815302,48452,3235,0,51687,1,purple
443622,3097752,33702,2633,0,36335,1,purple
361873,2319778,7458,4920,0,12378,1,purple
194735,1181670,1025,328,0,1353,0,peach
30041,200311,110,62,0,172,0,peach
31360,190128,131,33,0,164,0,peach
23261,143898,238,123,0,361,0,peach
46315,283095,299,135,0,434,0,peach
261410,1591667,1615,319,0,1934,0,peach
341775,2173088,7887,2316,0,10203,0,peach
432926,2855620,15326,6179,0,21505,1,purple
725951,9156194,43418,14079,0,57497,2,black
816294,5711520,52217,15596,0,67813,1,purple
451026,3154200,25030,12307,0,37337,1,purple
373037,2296650,5166,3403,0,8569,0,peach
206970,1163076,1135,377,0,1512,0,peach
35245,213834,123,74,0,197,0,peach
28369,172088,123,33,0,156,0,peach
33055,200602,148,41,0,189,0,peach
47390,289752,307,144,0,451,0,peach
257926,1567858,861,414,0,1275,0,peach
411604,2429368,8453,1848,0,10301,1,purple
486835,3196809,20385,2672,0,23057,1,purple
717864,4307185,46785,15973,0,62758,1,purple
809273,5629915,51350,13173,0,64523,1,purple
488247,3334041,22345,11368,0,33713,1,purple
407396,2547541,5194,3403,0,8597,1,purple
204770,1326420,364,160,0,524,0,peach
36325,220410,123,82,0,205,0,peach
35579,214794,92,18,0,110,0,peach
35766,216759,131,49,0,180,0,peach
56924,342731,82,20,0,102,0,peach
292358,1774656,1327,537,0,1864,0,peach
444265,2742330,5084,1311,0,6395,1,purple
523486,3478800,20925,7232,0,28157,1,purple
751309,5258838,48027,14555,0,62582,1,purple
786970,5500796,51790,13899,0,65689,1,purple
562309,3826842,25522,12227,0,37749,1,purple
444810,2764308,5076,2878,0,7954,1,purple
299699,1802514,490,189,0,679,0,peach
54679,328074,103,37,0,140,0,peach
43462,262092,94,16,0,110,0,peach
30060,181188,57,12,0,69,0,peach
54253,327426,114,45,0,159,0,peach
223653,1363602,1439,368,0,1807,0,peach
448299,2802462,8001,1388,0,9389,1,purple
582015,3848310,23331,6354,0,29685,1,purple
799802,5541384,49721,12160,0,61881,1,purple
909762,6255888,56206,10237,0,66443,1,purple
601530,4091400,29432,10753,0,40185,1,purple
455637,2856522,6311,3914,0,10225,1,purple
303503,1834242,729,373,0,1102,0,peach
50307,303654,110,41,0,151,0,peach
41114,249132,188,16,0,204,0,peach
42012,252900,41,28,0,69,0,peach
74773,452730,198,143,0,341,0,peach
324714,1966140,873,615,0,1488,0,peach
579272,3617652,10138,1697,0,11835,1,purple
704488,4556292,20609,6838,0,27447,1,purple
999535,6747366,52305,10208,0,62513,1,purple
1045060,7065924,55802,10495,0,66297,1,purple
666669,4457022,26421,11663,0,38084,1,purple
610334,3794232,6809,4210,0,11019,1,purple
302857,1824078,447,131,0,578,0,peach
50124,302220,78,45,0,123,0,peach
16084,106155,75,30,0,105,0,peach
13383,88328,90,3,0,93,0,peach
30060,198396,225,135,0,360,0,peach
17898,417008,981,315,0,1296,0,peach
148090,858921,6018,1251,0,7269,0,peach
290533,1685091,15723,3963,0,19686,0,peach
554953,2774765,37707,6972,0,44679,1,purple
645522,3227610,40743,7005,0,47748,1,purple
355864,1779320,19629,7233,0,26862,0,peach
207770,1246620,4407,2601,0,7008,0,peach
47633,285798,504,135,0,639,0,peach
11801,70806,33,81,0,114,0,peach
24588,162281,66,30,0,96,0,peach
14667,96802,87,3,0,90,0,peach
31291,206521,219,129,0,348,0,peach
75738,439281,1374,417,0,1791,0,peach
157252,912062,8562,1539,0,10101,0,peach
295348,1713018,18834,4335,0,23169,0,peach
574529,2872645,45489,6948,0,52437,1,purple
640990,3204950,39519,7044,0,46563,1,purple
377904,1889520,20784,5901,0,26685,0,peach
224497,1346982,5445,3567,0,9012,0,peach
45518,273108,321,270,0,591,0,peach
13535,81210,60,39,0,99,0,peach
17510,115566,99,0,0,99,0,peach
21110,139326,78,0,0,78,0,peach
30312,200060,270,36,0,306,0,peach
63276,367001,1473,174,0,1647,0,peach
164400,953519,8334,1398,0,9732,0,peach
262173,1520604,17184,4494,0,21678,0,peach
539109,2695545,37197,7410,0,44607,1,purple
615843,3079215,38607,7203,0,45810,1,purple
391798,1958990,20220,7677,0,27897,0,peach
211573,1269438,4584,2868,0,7452,0,peach
46316,277896,363,177,0,540,0,peach
18693,112158,69,0,0,69,0,peach
19402,128053,174,18,0,192,0,peach
15556,102669,66,0,0,66,0,peach
29040,191664,126,0,0,126,0,peach
57707,334701,855,225,0,1080,0,peach
192823,1118373,7881,1413,0,9294,0,peach
300647,1743752,16836,4110,0,20946,0,peach
586449,2932245,36591,7980,0,44571,1,purple
719671,3598355,39888,7701,0,47589,1,purple
417317,2086585,20853,7914,0,28767,0,peach
254615,1527690,6057,2676,0,8733,0,peach
43755,262530,795,57,0,852,0,peach
19052,114312,165,0,0,165,0,peach
13364,88203,30,0,0,30,0,peach
18112,119539,93,0,0,93,0,peach
29086,191967,183,24,0,207,0,peach
58788,340970,1836,207,0,2043,0,peach
182781,1060130,7635,1308,0,8943,0,peach
311803,1808457,17391,3963,0,21354,0,peach
617622,3088110,35193,6927,0,42120,1,purple
720079,3600395,39951,7140,0,47091,1,purple
421106,2105530,20073,7083,0,27156,0,peach
268779,1612674,6618,2271,0,8889,0,peach
48907,293442,390,96,0,486,0,peach
20322,121932,90,6,0,96,0,peach
14894,98301,84,0,0,84,0,peach
20510,135366,117,6,0,123,0,peach
32120,211992,351,24,0,375,0,peach
86198,499948,1374,291,0,1665,0,peach
175550,1018190,5631,1365,0,6996,0,peach
355270,2060566,18378,3885,0,22263,0,peach
626947,3134735,37617,6453,0,44070,1,purple
753799,3768995,40344,8877,0,49221,1,purple
439553,2197765,20553,6378,0,26931,0,peach
271606,1629636,4377,2184,0,6561,0,peach
54121,324726,483,141,0,624,0,peach
14810,88860,42,12,0,54,0,peach
17655,116523,45,0,0,45,0,peach
15576,102801,108,0,0,108,0,peach
32452,214184,303,9,0,312,0,peach
76597,444263,789,177,0,966,0,peach
166290,964482,7398,1236,0,8634,0,peach
327723,1900794,15603,3813,0,19416,0,peach
571017,2855085,29676,10044,0,39720,1,purple
714090,3570450,35043,10608,0,45651,1,purple
426562,2132810,14070,7014,0,21084,0,peach
280577,1683462,5418,2472,0,7890,0,peach
56828,340968,396,144,0,540,0,peach
19464,116784,90,9,0,99,0,peach
16292,107527,66,0,0,66,0,peach
17230,113718,84,0,0,84,0,peach
27035,178431,237,12,0,249,0,peach
77005,446629,975,207,0,1182,0,peach
132194,766725,5592,1023,0,6615,0,peach
340064,1972371,16488,2880,0,19368,0,peach
622847,3114235,36030,6105,0,42135,1,purple
758140,3790700,34944,10431,0,45375,1,purple
404808,2024040,15669,5766,0,21435,0,peach
287171,1723026,5364,1935,0,7299,0,peach
57810,346860,396,144,0,540,0,peach
19710,118260,90,9,0,99,0,peach
16726,110392,72,0,0,72,0,peach
17028,112385,57,6,0,63,0,peach
27500,181500,234,3,0,237,0,peach
81896,474997,1050,225,0,1275,0,peach
148052,858702,7047,993,0,8040,0,peach
307208,1781806,16224,3096,0,19320,0,peach
565477,2827385,35943,5442,0,41385,1,purple
701097,3505485,44499,6036,0,50535,1,purple
391378,1956890,24480,5619,0,30099,0,peach
266138,1596828,5352,1950,0,7302,0,peach
55225,331350,420,156,0,576,0,peach
16772,100632,129,18,0,147,0,peach
16430,108438,54,0,0,54,0,peach
17162,113269,132,0,0,132,0,peach
33688,222341,204,12,0,216,0,peach
82993,481360,1581,123,0,1704,0,peach
174610,1012738,7884,993,0,8877,0,peach
315980,1832684,25575,3324,0,28899,0,peach
562996,2814980,32355,5319,0,37674,1,purple
639073,3195365,36042,6177,0,42219,1,purple
426024,2130120,16167,5526,0,21693,0,peach
277644,1665864,4524,1929,0,6453,0,peach
39416,236496,375,255,0,630,0,peach
16211,97266,153,24,0,177,0,peach
22500,148500,105,0,0,105,0,peach
23848,157397,75,6,0,81,0,peach
35423,233792,354,3,0,357,0,peach
78555,455619,1122,240,0,1362,0,peach
166456,965445,6279,993,0,7272,0,peach
319208,1851406,15384,3009,0,18393,0,peach
547929,2739645,34500,4953,0,39453,1,purple
594904,2974520,35235,5877,0,41112,1,purple
378135,1890675,15396,5427,0,20823,0,peach
253626,1521756,5151,1929,0,7080,0,peach
33693,202158,345,240,0,585,0,peach
14961,89766,87,15,0,102,0,peach
18090,119394,57,6,0,63,0,peach
23926,157911,87,15,0,102,0,peach
35473,234122,105,0,0,105,0,peach
76007,440841,2088,264,0,2352,0,peach
157353,912647,6888,1431,0,8319,0,peach
325242,1886403,15564,2913,0,18477,0,peach
558641,2793205,32553,6522,0,39075,1,purple
630240,3151200,37452,6384,0,43836,1,purple
377456,1887280,17712,5106,0,22818,0,peach
257280,1543680,5232,1950,0,7182,0,peach
41353,248118,717,126,0,843,0,peach
15490,92940,90,30,0,120,0,peach
15309,101041,123,3,0,126,0,peach
25071,165470,78,18,0,96,0,peach
34498,227687,300,75,0,375,0,peach
72528,420662,2040,288,0,2328,0,peach
163145,946239,7191,1227,0,8418,0,peach
325441,1887557,16923,3135,0,20058,0,peach
571119,2855596,34764,4959,0,39723,1,purple
636824,3184121,38577,5607,0,44184,1,purple
392531,1962653,15666,5259,0,20925,0,peach
271312,1627869,6225,1881,0,8106,0,peach
36589,219531,381,60,0,441,0,peach
14205,85231,72,33,0,105,0,peach
22917,151251,93,0,0,93,0,peach
21993,145152,30,6,0,36,0,peach
34274,226211,174,24,0,198,0,peach
68444,396975,2010,540,0,2550,0,peach
135443,785568,5844,924,0,6768,0,peach
309230,1793536,16104,2658,0,18762,0,peach
547836,2739180,33948,5247,0,39195,1,purple
595191,2975956,37677,5580,0,43257,1,purple
376060,1880298,14823,4857,0,19680,0,peach
262412,1574472,6216,1956,0,8172,0,peach
44294,265764,396,75,0,471,0,peach
12968,77808,54,9,0,63,0,peach
11861,78283,21,0,0,21,0,peach
14266,94153,18,0,0,18,0,peach
20952,138283,0,0,0,0,0,peach
60180,349046,5490,909,0,6399,0,peach
134597,780661,57,0,0,57,0,peach
305134,1769774,13683,2859,0,16542,0,peach
471406,2357028,29700,4902,0,34602,1,purple
524675,2623373,32556,5364,0,37920,1,purple
357146,1785728,14211,3975,0,18186,0,peach
261284,1567701,5610,1818,0,7428,0,peach
